ID,Image,Mask,Mask L,Mask R
M04,c:/users/sven/Documents/BEP/simplified_data\M04\IMAGES\M04.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M04\MASKS\M04.nii.gz,,
M05,c:/users/sven/Documents/BEP/simplified_data\M05\IMAGES\M05.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M05\MASKS\M05.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M05\MASKS\M05_LM.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M05\MASKS\M05_RM.nii.gz
M06,c:/users/sven/Documents/BEP/simplified_data\M06\IMAGES\M06.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M06\MASKS\M06.nii.gz,,
M07,c:/users/sven/Documents/BEP/simplified_data\M07\IMAGES\M07.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M07\MASKS\M07.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M07\MASKS\M07_LM.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M07\MASKS\M07_RM.nii.gz
M08,c:/users/sven/Documents/BEP/simplified_data\M08\IMAGES\M08.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M08\MASKS\M08.nii.gz,,
M11,c:/users/sven/Documents/BEP/simplified_data\M11\IMAGES\M11.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M11\MASKS\M11.nii.gz,,
M12,c:/users/sven/Documents/BEP/simplified_data\M12\IMAGES\M12.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M12\MASKS\M12.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M12\MASKS\M12_LM.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M12\MASKS\M12_RM.nii.gz
M14,c:/users/sven/Documents/BEP/simplified_data\M14\IMAGES\M14.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M14\MASKS\M14.nii.gz,,
M15,c:/users/sven/Documents/BEP/simplified_data\M15\IMAGES\M15.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M15\MASKS\M15.nii.gz,,
M17,c:/users/sven/Documents/BEP/simplified_data\M17\IMAGES\M17.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M17\MASKS\M17.nii.gz,,
M18,c:/users/sven/Documents/BEP/simplified_data\M18\IMAGES\M18.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M18\MASKS\M18.nii.gz,,
M19,c:/users/sven/Documents/BEP/simplified_data\M19\IMAGES\M19.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M19\MASKS\M19.nii.gz,,
M20,c:/users/sven/Documents/BEP/simplified_data\M20\IMAGES\M20.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M20\MASKS\M20.nii.gz,,
M21,c:/users/sven/Documents/BEP/simplified_data\M21\IMAGES\M21.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M21\MASKS\M21.nii.gz,,
M22,c:/users/sven/Documents/BEP/simplified_data\M22\IMAGES\M22.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M22\MASKS\M22.nii.gz,,
M24,c:/users/sven/Documents/BEP/simplified_data\M24\IMAGES\M24.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M24\MASKS\M24.nii.gz,,
M25,c:/users/sven/Documents/BEP/simplified_data\M25\IMAGES\M25.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M25\MASKS\M25.nii.gz,,
M26,c:/users/sven/Documents/BEP/simplified_data\M26\IMAGES\M26.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M26\MASKS\M26.nii.gz,,
M27,c:/users/sven/Documents/BEP/simplified_data\M27\IMAGES\M27.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M27\MASKS\M27.nii.gz,,
M29,c:/users/sven/Documents/BEP/simplified_data\M29\IMAGES\M29.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M29\MASKS\M29.nii.gz,,
M31,c:/users/sven/Documents/BEP/simplified_data\M31\IMAGES\M31.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M31\MASKS\M31.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M31\MASKS\M31_LM.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M31\MASKS\M31_RM.nii.gz
M32,c:/users/sven/Documents/BEP/simplified_data\M32\IMAGES\M32.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M32\MASKS\M32.nii.gz,,
M33,c:/users/sven/Documents/BEP/simplified_data\M33\IMAGES\M33.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M33\MASKS\M33.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M33\MASKS\M33_LM.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M33\MASKS\M33_RM.nii.gz
M35,c:/users/sven/Documents/BEP/simplified_data\M35\IMAGES\M35.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M35\MASKS\M35.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M35\MASKS\M35_LM.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M35\MASKS\M35_LM.nii.gz
M38,c:/users/sven/Documents/BEP/simplified_data\M38\IMAGES\M38.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M38\MASKS\M38.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M38\MASKS\M38_LM.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M38\MASKS\M38_RM.nii.gz
M39,c:/users/sven/Documents/BEP/simplified_data\M39\IMAGES\M39.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M39\MASKS\M39.nii.gz,,
M40,c:/users/sven/Documents/BEP/simplified_data\M40\IMAGES\M40.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M40\MASKS\M40.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M40\MASKS\M40_LM.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M40\MASKS\M40_RM.nii.gz
M41,c:/users/sven/Documents/BEP/simplified_data\M41\IMAGES\M41.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M41\MASKS\M41.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M41\MASKS\M41_LM.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M41\MASKS\M41_RM.nii.gz
M42,c:/users/sven/Documents/BEP/simplified_data\M42\IMAGES\M42.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M42\MASKS\M42.nii.gz,,
M43,c:/users/sven/Documents/BEP/simplified_data\M43\IMAGES\M43.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M43\MASKS\M43.nii.gz,,
M44,c:/users/sven/Documents/BEP/simplified_data\M44\IMAGES\M44.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M44\MASKS\M44.nii.gz,,
M45,c:/users/sven/Documents/BEP/simplified_data\M45\IMAGES\M45.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M45\MASKS\M45.nii.gz,,
M46,c:/users/sven/Documents/BEP/simplified_data\M46\IMAGES\M46.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M46\MASKS\M46.nii.gz,,
M47,c:/users/sven/Documents/BEP/simplified_data\M47\IMAGES\M47.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M47\MASKS\M47.nii.gz,,
M48,c:/users/sven/Documents/BEP/simplified_data\M48\IMAGES\M48.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M48\MASKS\M48.nii.gz,,
M49,c:/users/sven/Documents/BEP/simplified_data\M49\IMAGES\M49.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M49\MASKS\M49.nii.gz,,
M50,c:/users/sven/Documents/BEP/simplified_data\M50\IMAGES\M50.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M50\MASKS\M50.nii.gz,,
M51,c:/users/sven/Documents/BEP/simplified_data\M51\IMAGES\M51.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M51\MASKS\M51.nii.gz,,
M52,c:/users/sven/Documents/BEP/simplified_data\M52\IMAGES\M52.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M52\MASKS\M52.nii.gz,,
M53,c:/users/sven/Documents/BEP/simplified_data\M53\IMAGES\M53.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M53\MASKS\M53.nii.gz,,
M54,c:/users/sven/Documents/BEP/simplified_data\M54\IMAGES\M54.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M54\MASKS\M54.nii.gz,,
M55,c:/users/sven/Documents/BEP/simplified_data\M55\IMAGES\M55.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M55\MASKS\M55.nii.gz,,
M56,c:/users/sven/Documents/BEP/simplified_data\M56\IMAGES\M56.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M56\MASKS\M56.nii.gz,,
M57,c:/users/sven/Documents/BEP/simplified_data\M57\IMAGES\M57.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M57\MASKS\M57.nii.gz,,
M58,c:/users/sven/Documents/BEP/simplified_data\M58\IMAGES\M58.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M58\MASKS\M58.nii.gz,,
M59,c:/users/sven/Documents/BEP/simplified_data\M59\IMAGES\M59.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M59\MASKS\M59.nii.gz,,
M60,c:/users/sven/Documents/BEP/simplified_data\M60\IMAGES\M60.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M60\MASKS\M60.nii.gz,,
M61,c:/users/sven/Documents/BEP/simplified_data\M61\IMAGES\M61.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M61\MASKS\M61.nii.gz,,
M64,c:/users/sven/Documents/BEP/simplified_data\M64\IMAGES\M64.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M64\MASKS\M64.nii.gz,,
M65,c:/users/sven/Documents/BEP/simplified_data\M65\IMAGES\M65.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M65\MASKS\M65.nii.gz,,
M66,c:/users/sven/Documents/BEP/simplified_data\M66\IMAGES\M66.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M66\MASKS\M66.nii.gz,,
M67,c:/users/sven/Documents/BEP/simplified_data\M67\IMAGES\M67.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M67\MASKS\M67.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M67\MASKS\M67_LM.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M67\MASKS\M67_RM.nii.gz
M68,c:/users/sven/Documents/BEP/simplified_data\M68\IMAGES\M68.nii.gz,c:/users/sven/Documents/BEP/simplified_data\M68\MASKS\M68.nii.gz,,
